   Time [MJD]         Obs. Residuals [mm]
57269.6668055556           3.800
57269.6669212963          -5.300
57269.6688194444          -6.000
57269.6692361111           1.800
57269.6698032407          27.500
57269.6701273148           3.100
57269.6706597222          -9.900
57269.6708912037          -0.400
57269.6712615741         -10.500
57269.6715393519          -7.400
57269.6717824074           3.600
57266.8783564815         -10.200
57266.8807175926          26.300
57266.8807638889          44.100
57266.8813657407          28.200
57267.8354629630         -24.100
57267.8357175926         -19.900
57267.8364467593         -38.500
57267.8367592593         -18.600
57267.8370486111          12.000
57267.8380324074         -26.200
57267.8380555556         -10.400
57267.9160069444          50.600
57267.9161921296         -10.700
57267.9166550926         -11.900
57267.9168865741         -20.900
57267.9174768519           2.100
57267.9177314815         -24.600
57267.9181481482         -23.100
57268.8724074074          66.700
57268.8727662037          45.700
57268.8733449074          21.900
57268.8737384259         -10.100
57268.8739120370          -8.900
57269.8281018519         -16.200
57269.8288194444           8.400
57269.8292013889          -3.700
57269.8295833333          12.700
57269.8305208333         -48.300
57270.7829050926         -19.500
57270.7844328704          -4.900
57270.7847569444           3.000
57270.7850694444           0.900
57270.7857523148         -18.600
57270.8648379630           0.700
57270.8651504630          26.200
57270.8654976852          33.600
57270.8661574074          10.900
57270.8663657407          13.200
57270.8665509259          19.700
57266.7362731481           5.400
57266.7365509259           7.700
57266.7368171296           1.500
57266.7371759259          -3.800
57266.7375231481          -1.600
57266.7379050926          -1.000
57266.7382175926          -7.300
57266.7385300926          -7.300
57266.7389004630          -8.400
57266.7392592593          -6.700
57266.7396180556          -5.400
57266.7399189815          -9.200
57266.7402777778         -12.000
57266.7405092593         -12.200
57266.7410185185           1.700
57266.7414583333         -10.000
57266.7417361111         -11.700
57266.7420370370          -7.900
57266.7423379630          -3.600
57266.7427083333          -6.300
57266.7431018518          -6.200
57266.7435185185          -3.300
57266.7438078704           1.700
57266.7441782407           3.000
57266.7443981481           1.500
57266.8174652778         -24.900
57266.8177430556         -18.100
57266.8180902778         -22.800
57266.8184259259         -22.400
57266.8187615741         -19.100
57266.8191203704         -22.200
57266.8193287037         -19.200
57266.8244560185          22.700
57266.8245717593          23.800
57266.8250925926          31.700
57266.8253356481          31.100
57266.8258101852          31.400
57266.8260300926          34.200
57266.8262615741          29.500
57267.1609027778          10.200
57267.1610879630          10.900
57267.1613888889           2.600
57267.1618750000           1.800
57267.1621180556          -2.200
57267.1624537037          12.600
57267.1628009259           2.800
57267.1640046296           4.000
57267.1642708333           4.200
57267.1646064815          -0.700
57267.1650462963           1.500
57267.1653125000           0.400
57267.1656018518           0.900
57267.1659606481           2.300
57267.1663425926           4.600
57267.1666898148           1.700
57267.1669097222           1.900
57267.2420486111         -31.300
57267.2424074074         -27.600
57267.2426388889         -29.500
57267.2437962963         -29.600
57267.2441550926         -21.300
57267.2444097222         -14.500
57267.2449189815         -10.400
57267.2451157407          -9.000
57267.2455439815          -7.200
57267.2458564815          -4.200
57267.2461921296           0.800
57267.2464814815           4.700
57267.2467361111          11.300
57267.2477199074          16.200
57267.2479629630          20.300
57267.2482638889          24.900
57267.2486111111          25.800
57267.2489351852          31.000
57267.2493634259          34.900
57267.2496875000          35.000
57267.2499421296          30.600
57267.2502083333          40.200
57267.6938194444         -12.300
57267.6941087963         -16.400
57267.6945023148         -10.500
57267.6947106481          -8.800
57267.6958449074          -9.800
57267.6962152778          -9.400
57267.6965856481         -10.400
57267.6969212963          -5.000
57267.6972569444         -10.000
57267.6975925926          -4.100
57267.6977893518          -8.800
57267.7713657407         -15.000
57267.7716087963         -15.300
57267.7718750000         -23.300
57267.7722453704         -28.700
57267.7726388889         -22.300
57267.7729513889         -23.500
57267.7732986111         -28.700
57267.7735416667         -23.400
57267.7750578704         -22.400
57267.7752199074         -22.400
57267.7761805555         -12.300
57267.7764120370          -7.300
57267.7766087963          -0.600
57267.7770370370          10.500
57267.8604166667           6.400
57267.8608101852          24.700
57267.8613541667          33.300
57268.1176851852          12.600
57268.1182175926           1.800
57268.1194328704           3.100
57268.1196643518          11.700
57268.1201157407          15.200
57268.1204513889          10.300
57268.1208564815           4.500
57268.1212384259           6.300
57268.1214467593          14.500
57268.1976736111          14.500
57268.1978356481          12.600
57268.1990740741           3.000
57268.1992708333           3.700
57268.1996527778          -3.900
57268.2000694444          -0.300
57268.2003703704          -2.300
57268.2006944444           1.500
57268.2009606481          12.900
57268.2015509259           7.200
57268.2017592593          10.800
57268.2021180556           9.800
57268.2024189815          12.700
57268.2027199074          16.400
57268.2031018518          20.700
57268.2035069444          25.500
57268.2038657407          29.100
57268.2042476852          23.300
57268.2045601852          22.700
57268.2048263889          24.500
57268.2051851852          20.200
57268.2056365741          29.900
57268.2058680555          11.700
57268.7272800926          13.400
57268.7273842593           8.700
57268.7282754630           2.100
57268.7284953704          -2.100
57268.7288425926          -0.400
57268.7291666667          -0.400
57268.7296527778           7.000
57268.7298958333          -3.400
57268.7302314815          -7.900
57268.7305787037          -6.600
57268.7309259259          -8.700
57268.7312500000          -6.900
57268.7316087963          -7.400
57268.7320023148          -3.600
57268.7323032407          -4.200
57268.7326851852           0.100
57268.8121643518          -3.300
57268.8124768518          -2.400
57268.8127893518           0.400
57268.8143518518           6.200
57268.8145949074          -0.900
57268.8149305556          -3.300
57268.8152662037          -2.300
57268.8156712963           2.300
57268.8160185185          -2.700
57268.8163541667           0.100
57268.8166550926          -4.100
57268.8169097222          -6.900
57268.8175231481           3.600
57268.8177777778          -1.600
57268.8180324074          -0.000
57268.8184375000           4.500
57268.8186111111           8.400
57268.8192708333         -12.100
57269.1524189815          22.700
57269.1539004630          18.600
57269.1541550926          18.700
57269.1545254630          18.700
57269.1547337963          15.400
57269.1551967593          11.200
57269.1557291667           7.100
57269.1558680556           2.300
57269.1563888889           1.700
57269.1565509259           2.300
57269.1569097222          -3.500
57269.1572916667          -2.100
57269.1577777778          -3.000
57269.1579282407         -11.500
57269.1584375000          -6.400
57269.1587268518          -5.200
57269.1589467593          -8.800
57269.1594675926          -8.900
57269.1596875000         -11.000
57269.1600462963         -11.700
57269.1603703704         -18.300
57269.1606828704          -5.300
57269.1612268519          -7.600
57269.2344675926          -3.100
57269.2347337963          -3.000
57269.2351041667          -1.400
57269.2354282407          -3.600
57269.2357523148          -1.200
57269.2360648148           4.800
57269.2364120370           5.900
57269.2368287037           7.000
57269.2371180555           9.100
57269.2376504630           0.200
57269.2378472222          -3.500
57269.2385416667          -4.800
57269.2387847222           0.800
57269.2407870370          -7.400
57269.2410069444          -3.500
57269.2413194444           8.700
57269.2417013889          -1.200
57269.2419907407          -2.100
57269.2423842593          -0.600
57269.2426504630           1.400
57269.2430439815           6.000
57270.1099652778           6.000
57270.1103935185           1.000
57270.1110416667           4.000
57270.1116319444          10.600
57270.1118865741           4.000
57270.1121875000           1.700
57270.1125000000          -1.900
57270.1128356481          -5.800
57270.1132754630          -4.900
57270.1135879630          -7.000
57270.1138541667          -8.500
57270.1918634259          27.800
57270.1920601852          12.300
57270.1923495370           4.600
57270.1931365741          -4.500
57270.1934490741          -6.600
57270.1938657407           6.400
57270.1939467593          -1.400
57270.1945023148          -6.400
57270.1947569444          -9.000
57270.1959837963          -2.000
57270.1962037037          -6.900
57270.1965509259          -6.400
57270.1968865741          -7.700
57270.1972337963          -1.100
57270.1975462963          -2.100
57270.1978935185           2.800
57270.1981250000           6.800
57270.7203009259          21.300
57270.7205208333          23.100
57270.7207175926          13.600
57270.7226851852          13.000
57270.7229398148          10.600
57270.7232754630          11.400
57270.7236226852           7.900
57270.7239699074           4.500
57270.7242708333           0.300
57270.7247222222           7.000
57270.7249305556          -1.300
57270.7254282407          -2.000
57270.7256944444          -5.900
57270.7260532407          -3.600
57270.7264236111          -9.400
57270.7267013889         -13.500
57270.7271643518          -8.700
57270.7275115741          -6.400
57270.7277777778          -9.500
57270.7281365741         -14.500
57270.7284722222         -10.400
57270.7288773148         -12.200
57270.7291666667         -11.600
57270.7294791667         -12.300
57270.7299074074         -15.100
57270.8039930556           6.700
57270.8041782407          11.200
57270.8045717593          13.400
57270.8048032407           9.000
57270.8051967593          18.200
57270.8054282407          40.200
57270.8098842593          -4.700
57270.8101620370          -6.000
57270.8105208333         -11.600
57270.8107060185           0.500
57266.1623263889           1.200
57266.1625231481           1.400
57266.1628472222           5.700
57266.1632175926           6.600
57266.1635648148          10.200
57266.1639236111           7.100
57266.1642592593           4.500
57266.1645370370           2.900
57266.1649884259           9.300
57266.1653240741           5.000
57266.1656134259          12.300
57266.1659143518          20.800
57266.1662500000          11.700
57266.2427662037         -11.000
57266.2431828704           4.000
57266.2434375000           5.500
57266.2437731481           2.200
57266.2441319444           5.800
57266.2444907407           8.600
57266.2446643518           4.400
57266.2455671296         -13.700
57266.2458449074         -11.500
57266.2460763889          -8.700
57266.2469675926          -3.500
57266.2472106482          -1.600
57266.2474421296          -0.100
57266.2480092593          -3.400
57266.2483217593          -3.700
57266.2486226852           2.200
57266.2489930556           0.600
57266.2492939815          -1.900
57266.2497685185           4.000
57266.2501041667          -3.900
57266.2503819444           0.700
57266.2507291667           5.700
57266.2509606481          10.000
57266.7811805556           8.800
57266.7816550926          -0.500
57266.7819444444          -4.600
57266.7824768519          -2.600
57266.7826851852          -5.500
57266.7829745370         -10.000
57266.7833449074          -9.600
57266.7837384259         -18.700
57266.7838773148         -15.300
57267.8927430556          -8.700
57267.8931250000          -5.500
57267.8933796296          -3.000
57267.8938425926          -4.900
57267.8941666667          -1.000
57267.8944328704          -2.300
57267.8947453704           3.900
57267.8955902778          -7.000
57267.8958680556          -0.900
57267.8962037037          -3.800
57267.8965625000           0.200
57267.8968750000          -2.000
57267.8972453704           2.900
57267.8975462963          -1.300
57267.8979166667           7.000
57267.8983217593           5.800
57267.8985879630           5.100
57267.8989930556          -3.600
57267.8991782407          -2.300
57267.9000925926           3.000
57267.9003240741           4.800
57267.9775694444          13.900
57267.9778356481           9.500
57267.9781712963          13.900
57267.9784143519           8.200
57267.9788657407           6.900
57267.9791203704          12.500
57267.9795833333           9.200
57267.9799305556           8.100
57267.9802199074          10.100
57268.8503703704          12.300
57268.8507523148          10.300
57268.8510995370           5.700
57268.8512962963           7.400
57268.8518750000          13.300
57268.8521412037           6.600
57268.8523958333          10.100
57268.8527546296           9.900
57268.8531250000           8.300
57268.8534953704           8.000
57268.8538310185           9.900
57268.8541666667           3.300
57268.8545254630           0.300
57268.9300115741           8.300
57268.9302546296          17.600
57268.9305555556          15.200
57268.9308680556          10.400
57268.9342129630          -4.100
57268.9343981482         -11.000
57268.9347569444         -12.000
57268.9351273148         -12.800
57268.9354282407         -15.400
57268.9357291667         -16.200
57268.9361689815         -11.100
57268.9364814815          -7.100
57268.9372106482           6.100
57268.9376504630         -18.300
57268.9378125000          -7.100
57268.9381365741         -19.500
57269.8883101852          -8.200
57269.8885532407          -2.000
57269.8888888889          -3.700
57269.8892361111          -6.900
57269.8897453704           7.000
57269.8899652778          -5.900
57269.8903009259          -5.300
57269.8906250000          -8.800
57269.8909490741          -4.700
57269.8913657407           2.800
57269.8915277778           9.600
57269.8919560185           6.300
57269.8924537037          19.800
57269.9705092593          -4.200
57269.9708796296          -0.700
57269.9711458333          -1.300
57269.9715162037          -7.300
57269.9719675926          -6.700
57269.9721875000          -6.300
57269.9726273148          -9.700
57269.9729166667         -11.300
57269.9732291667          -9.100
57269.9735879630          -9.200
57269.9738888889          -7.100
57267.4532754630          -0.400
57267.4534490741           5.300
57267.4536689815          -9.800
57267.4552430556          -1.400
57267.4555902778          -4.800
57267.4559722222          -0.800
57267.4561342593           3.000
57267.4567013889          -3.200
57267.4569907407          -2.600
57267.4572453704           0.500
57268.4872685185           1.500
