   Time [MJD]         Obs. Residuals [mm]
57281.8670370370         -13.900
57281.8673726852         -18.800
57281.8677314815         -18.200
57281.8680787037         -12.500
57281.8684259259         -16.300
57281.8687847222         -15.400
57281.8691203704         -10.500
57281.8695023148          -2.500
57281.8698148148         -21.100
57281.8701736111         -15.500
57281.8705208333         -10.200
57281.8708564815         -12.500
57281.8711226852          -6.600
57281.9457407407           1.700
57281.9473842593           0.300
57281.9474768518           1.000
57283.7709837963           0.300
57283.7712152778          -1.600
57283.7715625000           0.500
57283.7719097222          -3.000
57283.7722337963           4.000
57283.7725694444           6.700
57283.7729629630           3.500
57283.7732986111           3.200
57283.7736226852           5.800
57283.7739699074           6.000
57283.7743287037           4.500
57283.7746759259           9.000
57283.7750115741           5.800
57283.7753819444          -0.600
57283.7757060185           0.000
57283.7760648148           0.300
57283.7764004630          -1.500
57283.7767824074          -1.100
57283.7771180556          -0.400
57283.7774652778           2.400
57283.7778009259          -1.200
57283.7780439815           5.400
57283.8528819444         -10.900
57283.8531944444          -0.500
57283.8535069444           3.300
57283.8538425926          11.100
57283.8541782407          14.500
57283.8545138889           4.900
57283.8548726852           4.600
57283.8552430556           6.900
57283.8555902778           8.500
57283.8559143519           4.900
57283.8562731481           8.200
57283.8566319444           6.200
57283.8569560185           4.900
57283.8573263889           3.500
57283.8576041667           3.600
57283.8579629630          -1.900
57283.8582754630         -10.000
57283.8587731481          -6.900
57283.8590393518          -3.900
57283.8594212963          -8.200
57283.8597222222          -5.100
57283.8600810185          -2.700
57283.8604398148           1.100
57283.8607870370          -7.800
57283.8611458333          -2.300
57283.8614814815          -3.300
57283.8618402778          -1.000
57283.8621759259           1.700
57283.8625115741          -0.900
57283.8628587963           2.300
57283.8632291667           9.900
57283.8635648148           7.600
57283.8637962963          10.700
57281.5456134259         -23.200
57281.5458564815         -14.200
57281.5462268519         -17.400
57281.5464699074         -13.200
57281.5469097222          -3.400
57281.5472916667         -20.300
57281.5475578704         -21.400
57281.6275347222          -0.800
57281.6278240741          -0.100
57281.6281481481           8.000
57281.6284606481           2.600
57281.6288078704           8.700
57282.5831712963          19.800
57282.5834027778           8.700
57282.5837152778           8.300
57282.5840162037           1.200
57282.5844212963           8.700
57282.5847106482           9.500
57284.4962037037          16.600
57284.4965509259          16.900
57284.4968287037          17.400
57284.4972569445          16.400
57284.4975694445          16.200
57284.4978703704          18.500
57284.5764814815           7.800
57284.5768171296           3.900
57284.5770949074           1.000
57284.5774768519          -2.400
57284.5777777778          -6.600
57284.5781018519          -8.200
57284.5784375000          -3.000
57283.8625231481          -4.200
57278.0003819444           4.300
57278.0011921296          -6.100
57278.0014236111         -14.700
57278.0017824074         -11.900
57278.0020949074         -13.400
57278.0024421296         -14.700
57278.0028009259         -11.900
57278.0031597222         -17.200
57278.0034143519         -20.900
57278.6146643519          -1.700
57278.6149421296           2.200
57278.6152777778           3.700
57278.6156712963           1.300
57278.6160300926          -2.900
57278.6163078704          -3.000
57278.6166782407          -4.500
57278.6169560185          -1.400
57278.6173842593          -1.700
57278.6176851852          -4.900
57278.6180671296          -4.100
57278.6187500000          -2.900
57278.6198032407           9.200
57278.6200925926          18.400
57279.0376388889          -4.000
57279.0377546296          -2.200
57279.0397337963           0.500
57279.0399768519          -8.600
57279.0402662037          -3.500
57279.0406250000          -0.500
57279.0410416667          -1.400
57279.0412962963          -3.200
57279.5705439815          15.700
57279.5709375000          30.000
57279.5712037037          15.000
57279.5715740741           8.000
57279.5718865741           9.000
57279.5722453704           4.600
57279.5725462963           6.400
57279.5729166667           6.300
57279.5733449074           5.600
57279.5736342593           0.700
57279.5739467593           6.600
57279.5743287037           0.300
57279.5747106482           7.500
57279.5749305556           0.000
57280.5272106481          -5.800
57280.5274884259          -7.200
57280.5277777778          -1.200
57280.5280902778          -7.400
57280.6074421296          -6.500
57280.6076851852          -7.100
57280.6079976852          -7.600
57280.6083680556         -10.100
57280.6086921296          -6.500
57280.6091087963          -7.400
57280.6093518519          -1.800
57280.6096875000           4.500
57280.6101504630          -0.700
57280.6103703704           0.300
57280.6107638889           2.200
57280.6111111111           1.100
57280.6114814815           1.900
57280.6118287037           7.300
57280.6121990741          19.300
57280.6125000000          19.300
57280.6127546296          18.600
57280.9492708333         -20.000
57280.9497106482         -22.100
57280.9500000000         -23.000
57280.9504861111         -25.100
57280.9506481482         -31.500
57280.9518750000         -36.400
57281.0312152778         -20.500
57281.0330555556         -12.500
57281.0333680556         -13.400
57281.0337152778          -6.500
57281.0339930556          -7.700
57281.0343634259          -2.500
57281.0346990741           8.100
57281.0350925926           0.400
57281.5635763889          -1.400
57281.5639699074           0.400
57281.5642013889          -5.900
57281.5645717593           0.900
57281.5650231481           1.300
57281.5652662037           1.700
57281.5656481481           5.100
57281.5659606481           6.200
57281.5663541667           8.000
57281.5666782407           8.800
57281.5670138889          12.500
57281.5673495370           8.900
57281.5677546296          16.700
57281.5680787037          20.200
57281.5684490741          24.700
57281.5687847222          25.300
57283.0233101852           6.900
57283.0258333333           1.000
57283.5590625000           6.400
57283.5594212963           7.100
57283.5598032407           4.400
57283.5600810185           9.600
57283.5603587963           9.700
57281.5286458333         -21.100
57281.5288425926         -20.800
57281.5292245370         -19.600
57281.5295486111         -18.900
57281.5298495370         -16.300
57281.5302083333         -16.700
57281.5306018519         -12.700
57281.5309259259          -9.000
57281.5312500000          -7.700
57281.5316666667          -5.700
57281.5319560185          -2.000
57281.5322800926           2.600
57281.5326620370           8.700
57281.5329745370          10.000
57281.5333912037          10.200
57281.5336805556           9.700
57281.5340509259          13.900
57281.5344212963          14.900
57281.5347337963          12.400
57281.5350694444           8.400
57281.5354398148           9.100
57281.5357407407          10.200
57281.5360532407          10.000
57281.7806481482          -7.900
57281.7809259259          -6.100
57281.7812268519          -1.300
57281.7815162037          -1.500
57281.7827430556          -5.800
57281.7828935185          -5.500
57281.7837847222          -6.100
57281.7840740741          -6.200
57281.7844212963          -6.000
57281.7847569444          -8.800
57281.7851157407         -11.900
57281.7853935185         -12.700
57281.7857986111         -10.000
57281.7861458333         -11.200
57281.7864699074          -9.000
57281.7868171296          -7.500
57281.7871875000          -8.600
57281.7874189815          -8.800
57281.8636458333          22.300
57281.8638773148          22.300
57281.8643171296          21.400
57281.8646180556          20.200
57281.8649421296          13.800
57281.8652430556           8.900
57281.8657523148           1.500
57281.8659953704           2.700
57281.8663078704           1.900
57281.8666203704          -2.100
57281.8671064815          -3.200
57281.8673842593          -6.300
57281.8676041667          -6.700
57283.4381134259          15.000
57283.4386342593          12.800
57283.4387615741           5.700
57283.4414004630           0.300
57283.4417129630           0.900
57283.4419444445          -0.600
57283.4423148148          -0.300
57283.4435532407           7.900
57283.4437962963          12.100
57283.4441087963          17.400
57283.4443981482          20.100
57283.4447800926          15.800
57283.4451273148           1.600
57283.4455439815          -2.600
57283.4458217593          -0.800
57283.4462268519          -4.000
57283.4465393519          -8.500
57283.4468981481          -4.800
57283.4471643519          -5.100
57283.5212384259           5.400
57283.5215740741          -3.400
57283.5218518519           1.900
57283.5222916667          -0.900
57283.5226273148          -5.100
57283.5229398148          -6.700
57283.5232986111          -8.400
57283.5236226852          -8.100
57283.5239699074          -7.600
57283.5242245370          -4.800
57283.5246990741          -4.800
57283.5250578704          -7.800
57283.5253356481          -7.500
57283.5256828704          -5.900
57283.5260300926          -7.600
57283.5263657407          -8.400
57283.5267476852         -10.800
57283.5270601852         -10.900
57283.5274305556          -9.500
57283.5277430556          -3.700
57283.5281828704           3.300
57283.5284837963          -7.000
57283.5288078704          -7.100
57283.8567361111          11.400
57283.8569791667           6.100
57283.8573032407           8.100
57283.8576736111           8.700
57283.8579976852           3.400
57283.8583796296           6.600
57283.8586921296           1.800
57283.8590625000           2.600
57283.8593750000           1.000
57283.8597337963          -0.600
57283.8601157407           1.200
57283.8604513889           0.300
57283.8607407407           0.700
57283.8611342593          -3.600
57283.8614467593          -1.600
57283.8618402778           3.200
57283.8621527778          -6.000
57283.8624884259           4.500
57283.8628472222           0.800
57278.8306944444           1.500
57278.8309375000           2.300
57278.8312384259           4.000
57278.8314930555           1.900
57282.8161226852          24.600
57282.8163425926          17.500
57282.8166782407           9.700
57282.8170486111           8.600
57282.8173842593           8.900
57282.8177893519           5.300
57282.8181018519           0.100
57282.8184375000          -3.100
57282.8187384259          -3.500
57282.8191087963          -7.300
57282.8194212963          -6.300
57282.8980555556          17.400
57282.8982986111          22.100
57282.8985763889          25.400
57282.8990162037          28.100
57282.8993865741          28.600
57282.8996875000          18.700
57282.9000231481          12.900
57282.9003935185           4.500
57282.9006944444           0.400
57282.9010648148          -5.200
57282.9014004630          -6.100
57282.9016550926          -7.900
57282.9046412037         -32.800
57282.9048726852         -31.600
57282.9051041667         -37.800
57283.6066087963          -0.500
57283.6069791667          -7.300
57283.6073148148          -4.700
57284.8088078704          -2.100
57284.8090740741          -9.000
57284.8093865741          -9.300
57284.8097569444          -6.600
57284.8100810185          -4.900
57284.8104398148          -3.000
57284.8108101852           5.000
57284.8111342593           5.500
57284.8114930556           1.000
57284.8118402778          -0.800
57284.8122222222          -1.500
57284.8125347222          -0.600
57284.8129050926          -1.300
57284.8132291667          -1.200
57284.8135532407           0.900
57284.8139004630          -2.900
57284.8143055556           2.800
57284.8145370370          -2.200
57284.8149421296          -0.600
57284.8152893518           0.300
57284.8156597222          -0.200
57284.8158564815           3.000
57284.8910763889         -36.400
57284.8913425926         -31.200
57284.8916782407         -29.300
57284.8920138889         -26.200
57284.8924305556         -23.200
57284.8927314815         -20.100
57284.8930787037         -18.100
57284.8934259259         -11.600
57284.8937384259          -8.900
57284.8941319444          -4.400
57284.8944560185           3.000
57284.8948032407           3.600
57284.8951620370           7.900
57284.8955439815          13.900
57284.8958796296          21.500
57284.8962615741          21.900
57284.8965393519          20.800
57284.8968865741          22.700
57284.8972569444          24.400
57284.8975347222          25.900
57279.8688425926          94.400
57279.8694328704          90.300
57279.8696643519          83.700
57279.8700810185          70.300
57279.8705324074          69.800
57279.8708101852          59.300
57279.8712384259          41.900
57279.8716203704          18.700
57279.8718865741           7.000
57279.8722337963         -11.400
57279.8725231482         -25.600
57279.8729282407         -41.200
57279.8732754630         -59.400
57279.8735879630         -69.100
57279.8740509259         -77.800
57279.8743171296         -91.000
57279.8746527778         -86.500
57279.8749768519         -92.500
57279.8752662037         -92.000
57280.8237615741         -31.600
57280.8239930556         -28.500
57280.8243287037         -31.000
57280.8246759259         -31.000
57280.8250000000         -18.400
57280.8253935185         -16.400
57280.8256712963         -13.700
57280.8259722222         -15.400
57280.8264004630          -2.800
57280.8267476852          -2.300
57280.8270949074           1.000
57280.8275000000          -5.000
57280.8278587963          -1.900
57280.8281828704           7.200
57280.8285069444          10.400
57280.8288078704          11.800
57280.8291898148          16.600
57280.8295601852          20.100
57280.8298611111          25.400
57280.8302199074          21.000
57280.8305439815          23.000
57280.8308680556          28.100
57280.8311342593          29.600
57280.9087152778          -6.900
57280.9091087963          -3.000
57280.9093750000           2.800
57280.9097569444           4.400
57280.9100810185           5.300
57280.9104282407           9.000
57280.9107523148          15.500
57280.9110416667          13.800
57280.9115046296          17.400
57280.9116782407          21.300
57283.7714814815         -24.700
57283.7719560185         -23.900
57283.7721759259         -26.800
57283.7726388889         -14.700
57283.7728240741         -16.500
57283.7734027778         -23.800
57283.7736226852         -19.300
57283.7740277778         -17.600
57283.7742361111         -22.800
57283.7746296296          -9.000
57283.7750810185         -11.000
57283.7753819444          -4.000
57283.7757175926          -6.900
57283.7761458333          -0.900
57283.7764004630           0.000
57283.7767129630          -0.400
57283.7771643518           9.400
57283.7774421296          12.600
57283.7778240741          19.900
57283.7781365741          17.700
57283.7785300926          22.400
57283.7788194444          14.400
57283.7791550926          16.200
57283.7795370370          17.900
57283.7797685185          15.500
57283.8574652778         -13.600
57283.8577083333          -9.800
57283.8579861111          -2.700
57283.8582986111           5.000
57283.8586574074          10.600
57283.8590277778           8.600
57283.8593055556           7.200
57283.8596643519           8.900
57283.8602314815          24.200
57283.8605208333          25.600
57283.8607638889          22.800
57283.8611111111          26.300
57283.8614236111          25.600
57283.8617592593          30.800
57278.4171990741           7.300
57278.4173842593           9.600
57278.4177199074           8.500
57278.4181365741           3.500
57278.4184259259           0.600
57278.4186805556          -3.600
57278.4191435185          -6.100
57278.4195601852          -5.000
57278.4198379630         -13.900
57278.4201736111         -21.400
57278.4204976852         -26.100
57278.5008796296          -9.000
57278.5011111111         -12.300
57278.5013773148         -12.200
57278.5017245370         -17.900
57278.5020833333         -17.700
57278.5025231481          -5.300
57278.5027546296          -4.600
57278.8344675926          -0.100
57278.8347569444           4.000
57278.8350925926           0.400
57278.8353703704           3.000
57278.8358449074          -2.300
57278.8361111111           3.900
57278.8364699074           4.200
57278.8367476852           6.500
57278.8372337963           0.900
57278.8375115741          -0.400
57278.8378703704          -0.100
57278.8382060185           0.900
57278.8384837963           3.800
57278.8390162037           3.100
57278.8393055556          -1.800
57278.8395949074           1.200
57278.8398958333           2.800
57278.8403125000           1.700
57278.8406481481          -1.100
57278.8409837963          -1.500
57278.8412384259          -5.000
57278.9160300926         -12.700
57278.9163310185         -12.100
57278.9166898148          -7.900
57278.9169328704          -8.400
57278.9175347222          -5.600
57278.9177083333          -5.200
57278.9180787037          -4.100
57278.9185185185          -2.400
57278.9187268519           1.100
57278.9191550926          -0.100
57278.9194444444           0.600
57278.9196759259           3.000
57278.9208564815           3.400
57279.5352546296         -16.600
57279.5355092593         -13.900
57279.5357870370         -14.500
57279.5361458333         -11.500
57279.5365046296         -15.900
57279.5367824074         -16.100
57279.5371990741         -16.100
57279.5375462963         -15.000
57279.5379050926         -13.800
57279.5382523148         -10.900
57279.5384259259         -13.900
57281.8654629630          32.800
57281.8665046296          17.500
57281.8665509259          15.500
57281.8685300926           4.700
57281.8686574074           1.900
57281.8699652778          -0.700
57281.8702083333          -0.000
57281.8704976852          -4.500
57281.8708217593          -2.800
57281.8712037037          -3.200
57281.8715046296          -2.300
57281.8717361111          -3.400
57283.7754976852          13.000
57283.7756018518           8.600
57283.7760763889           6.900
57283.7764236111           9.900
57283.7767476852           8.700
57283.7770370370           5.700
57283.7774537037           7.300
57283.7778009259           4.600
57283.7781597222           2.300
57283.7784953704           3.400
57283.7788194444           4.200
57283.7792013889           2.000
57283.7795254630           2.600
57283.7798495370          -0.600
57283.7802199074          -1.600
57283.7806018519          -3.300
57283.7808333333          -2.700
57283.8569907407           6.100
57283.8573611111           6.500
57283.8576504630           5.200
57283.8580439815          10.400
57283.8582638889          10.800
57283.8602314815           3.800
57283.8604282407           2.400
57283.8607870370           6.200
57283.8611805556           2.100
57283.8615509259           0.300
57283.8618055556           1.700
57283.8621527778          -0.300
57283.8624305556           6.400
57284.3980324074         -21.100
57284.3983680556         -23.100
57284.3985185185         -20.500
57284.3989814815         -20.300
57284.4788425926          27.700
57284.4798726852          33.000
57284.4802314815          35.900
57284.4804398148          38.000
57284.8129398148          -9.700
57284.8132986111          -6.800
57284.8135648148          -4.200
57284.8138541667          -2.700
57284.8141203704          -1.500
57278.5022337963           4.000
57278.5023495370          -0.600
57278.5028356481           0.800
57278.5031597222          -4.200
57278.5046180556         -21.500
57279.7889699074          -3.900
57279.7893171296           2.600
57279.7895949074          -1.000
57279.7899652778           5.700
57279.7903703704          -1.600
57279.7907060185          -0.800
57279.7909837963          -5.000
57279.7914351852          -3.700
57279.7915856481          -4.300
57279.7922569444          15.400
57281.7813425926          -5.300
57281.7827314815         -11.100
57281.7830555556          -7.200
57281.7833796296          -3.700
57281.7835763889          -3.800
57281.8654166667           1.000
57281.8656250000           2.300
57281.8661342593           3.500
57281.8663078704          -4.300
57281.8667129630          -0.900
57281.8669907407          -6.500
57281.8674537037          -3.800
57281.8677199074         -10.000
57281.8679513889          -6.200
57282.4896875000           9.200
57282.4899652778          12.400
57282.4903009259           2.500
57282.4905208333           5.300
57282.9006597222           0.100
57282.9011111111           6.100
57282.9015277778          -5.000
57282.9016782407          -1.600
57283.8587037037           3.900
57283.8593402778          -6.500
57291.7480092593           0.700
57291.7481250000          42.000
57291.7486921296          55.200
57291.7496527778         -29.500
57291.7499189815        -101.000
57286.8080324074          46.900
57286.8082986111         -26.800
57286.8085879630           9.100
57286.8091666667         -17.400
57286.8094097222          -2.200
57286.8097916667          21.000
57287.7620601852          52.300
57287.7624768519          16.700
57287.7629976852         -25.400
57287.7639699074          -1.700
57287.7641782407         -57.400
57287.7645949074         -17.200
57287.7650000000          13.400
57287.7653587963          25.600
57287.7656018519          17.600
57287.7659027778           7.900
57290.7920833333         -54.500
57290.7923032407          -5.800
57290.7928587963         -50.000
57290.7931597222         -41.600
57290.7936458333          -6.100
57290.7939930556          32.200
57290.7949189815         -19.400
57290.7950347222           0.600
57291.7469328704          29.100
57291.7480555556          32.300
57291.7486342593           1.000
57291.7488078704          19.700
57291.7493750000          -2.500
57291.7496527778           6.200
57291.7501388889          18.100
57291.7503935185          16.500
57291.7505787037           4.400
57291.7511226852           9.800
57291.7512731482          11.300
57291.7518865741          -1.300
57291.7520949074         -12.900
57291.7528356481         -22.400
57287.7604166667         -16.700
57287.7608564815          -3.400
57287.7611226852          -9.700
57287.7614120370          -3.700
57287.7618287037          -6.600
57287.7621296296          -9.400
57287.7625694444          -2.200
57287.7628703704          -9.800
57287.7632986111         -14.100
57287.7635763889         -13.400
57287.7638425926         -14.200
57287.7642592593          -1.000
57287.7646296296           7.300
57287.7650231481          -9.700
57287.7652893518          -9.400
57288.7152430556          16.500
57288.7156712963          -0.400
57288.7159375000          -0.600
57288.7163194444           3.300
57288.7167361111          -3.000
57288.7170601852           7.000
57288.7172453704          34.200
57288.7178819444          10.400
57288.7179282407          16.100
57288.7189004630          22.300
57288.7191203704         -24.000
57288.7194212963          -3.900
57288.7198842593         -10.100
57288.7202430556          -6.100
57288.7205092593          21.300
57287.7612500000         -26.100
57287.7614814815         -18.300
57287.7618981482           8.200
57287.7621296296          -7.700
57287.7624421296          16.700
57287.7628472222          30.700
57287.7632638889          -3.400
57285.7681597222           4.100
57285.7684027778          -2.300
57285.7688078704          -7.500
57285.7690856481         -16.800
57285.7694791667          -0.200
57285.7697453704          -8.200
57285.7701388889          -2.900
57285.7705555556          -4.500
57285.7708796296           8.100
57285.7711458333           1.300
57291.7476504630          22.000
57291.7480439815           7.100
57291.7482754630           9.500
57291.7486226852           3.500
57291.7489930556          14.500
57291.7492824074          12.400
57291.7497916667         -26.200
57291.7500347222          -6.800
57287.7635879630           2.600
57287.7639236111           6.300
57287.7642824074          -4.400
57287.7645949074         -12.200
57287.7649652778          -3.800
57287.7653819444         -16.600
57287.7656944444          -3.000
57287.7659490741         -13.200
57287.7663310185           2.700
57287.7667361111           4.500
57288.7178472222          23.800
57288.7182291667         -18.600
57288.7184375000          18.300
57288.7187615741           9.800
57288.7191087963          15.200
57288.7196180556         -11.900
57288.7198148148          12.300
57288.7203125000          -5.800
57288.7204513889           3.600
57288.7209490741           6.300
57288.7210300926         -11.100
57288.7218402778          -7.600
57288.7222916667          -0.200
57288.7226157407           5.900
57288.7229513889          11.600
57285.4463773148          -4.500
57285.4465277778          -5.400
57285.4469097222         -36.400
57285.5254398148          -2.100
57285.5257407407          -8.600
57285.5259490741         -19.100
57285.5264699074         -10.600
57285.5268287037         -14.900
57285.5270833333         -15.500
57285.5274305556         -15.800
57285.5277777778         -28.800
57285.5284953704           4.900
57285.5288541667           6.900
57285.5290856482           6.100
57285.5295949074         -11.700
57285.5298611111           4.300
57285.5302430556          -4.300
57285.5305555556          -6.800
57285.5308680556           2.200
57285.5313078704           5.300
57285.5316319444           5.400
57285.5320601852          15.800
57285.5323379630          26.100
57285.5326388889          22.600
57285.5329166667          17.500
57285.6078240741          19.000
57285.6080324074          25.100
57285.6082291667          39.200
57286.5690625000         -11.100
57286.5694675926         -20.600
57286.5698726852         -43.600
57286.5701273148         -29.200
57286.5706250000         -32.500
57286.5707754630         -16.800
57289.5139699074           5.300
57289.5142245370          18.700
57289.5159722222          21.800
57289.5167013889          12.800
57289.5171412037          21.000
57289.5172222222         -17.700
57289.5181828704           3.400
57289.5183564815          -3.000
57289.5189467593          43.700
57286.7281944444          -2.600
57286.7284606481         -11.500
57286.7292708333           1.000
57286.8067361111         -12.200
57286.8072453704           7.100
57286.8079166667          60.400
57286.8089814815         -22.500
57286.8093171296         -27.300
57286.8096643519           3.700
57285.0129166667          -7.300
57285.0131134259         -12.000
57285.0133912037          -4.600
57285.0138888889          -6.600
57285.0143981481          -8.200
57285.0146527778          -8.100
57285.0149074074          -5.100
57285.0153240741          -6.700
57285.0156597222          -8.300
57285.0160185185         -11.400
57285.0164930556         -18.300
57285.0168402778          -4.700
57285.0170023148          -6.400
57285.0173611111         -14.700
57285.0178703704         -15.400
57285.0179629630          -8.700
57285.0185648148         -24.400
57285.0187615741         -16.000
57285.0191435185         -12.100
57285.0194328704         -14.000
57285.0197569444          -9.000
57285.0201041667          -3.900
57285.0204861111          -7.500
57285.0207407407         -22.600
57285.0211342593          -5.200
57285.0948148148          -7.200
57285.0952083333          -2.100
57285.0954745370          -3.700
57285.0959375000          -0.600
57285.0961921296          -5.000
57285.0970486111         -20.200
57285.0973379630         -16.700
57285.0976041667         -14.800
57285.0978703704         -15.200
57285.0982407407          -7.600
57285.0985532407          -6.200
57285.0990625000          -1.900
57285.0992476852          -0.600
57285.0996412037           5.100
57285.0999652778          17.800
57285.1003819444           4.300
57285.1007291667           6.900
57285.1010648148           8.400
57285.1013888889           9.900
57285.1016666667          15.200
57285.1026041667           5.800
57285.1026967593          15.900
57285.1032986111          26.200
57285.1035185185          25.000
57285.1037152778          21.300
57285.6292824074         -14.300
57285.6295486111          -2.800
57285.6298726852          -1.300
57285.6302430556          -1.100
57285.6305902778           2.300
57285.6309375000           2.800
57285.6312500000           1.700
57285.6315740741           7.400
57285.6319444444          19.100
57285.6327546296          53.300
57285.6330671296          51.900
57285.6331944444          48.200
57285.6348495370          34.400
57285.6349884259          36.700
57285.6353009259          35.200
57285.7098611111           5.300
57285.7100810185           4.100
57285.7104282407           4.000
57285.7107754630           3.400
57285.7111226852           4.900
57285.7114814815           5.100
57285.7118055556           3.600
57285.7120601852           6.900
57286.0505208333          20.700
57286.0507407407          15.300
57286.0510532407          22.800
57286.0513310185          29.000
57286.0518634259          23.000
57286.0521180556          10.800
57286.0525694444           6.200
57286.0528009259          -1.000
57286.0531365741          -2.500
57286.0534953704          -2.900
57286.0537962963          -1.400
57286.0542245370          -4.300
57286.0544791667          -1.300
57286.0548263889          -1.400
57286.0552777778          -9.000
57286.0556250000         -10.700
57286.0559375000          -9.500
57286.0562615741          -7.200
57286.0566666667          -6.700
57286.0569444444          -9.500
57286.0573148148         -12.100
57286.0576041667          -7.400
57286.0580208333          -6.300
57286.0584027778          -3.100
57286.0587268519           0.500
57286.0590046296          -4.000
57286.0594328704           3.100
57286.0596296296           9.200
57286.1325115741          -4.600
57286.1329513889         -31.800
57286.1335069444         -20.000
57286.1336458333         -20.800
57286.1341203704         -12.100
57286.1343750000         -19.700
57286.1347569444          -4.100
57286.1356134259         -19.700
57286.1357754630         -16.800
57286.1360995370         -12.300
57286.1365046296          -8.200
57286.1367939815         -10.200
57286.1371759259          -8.700
57286.1374074074         -14.800
57286.1381018519          -7.600
57286.5820370370           8.900
57286.5823379630           3.700
57286.5826388889           7.300
57286.5829745370          11.500
57286.5834375000           3.800
57286.5837268519           3.600
57286.5840277778           2.000
57286.5844675926          -0.500
57286.5847453704          -2.800
57286.5850925926          -0.200
57286.5854398148           0.500
57286.5856365741           0.500
57286.5879166667           6.500
57286.5881365741           2.800
57286.5885763889          -3.300
57286.5888541667           7.700
57286.5893287037           2.700
57286.6629398148           0.300
57286.6632291667          -6.800
57286.6635648148          -5.900
57286.6639236111          -7.300
57286.6642476852          -5.700
57286.6645717593          -7.600
57286.6647800926           5.500
57286.6685300926         -10.000
57286.6687615741         -13.900
57286.6691087963         -11.100
57286.6694675926          -9.500
57286.6698379630          -2.900
57286.6700231481          13.300
57286.6705555556           1.700
57286.6707638889           6.300
57286.6712037037          -2.600
57286.6715509259           1.100
57286.6717476852         -17.400
57287.0059143519          18.400
57287.0062384259          21.600
57287.0067013889          19.000
57287.0069675926          18.400
57287.0073495370          18.500
57287.0076388889          12.300
57287.0079861111           9.900
57287.0083680556           5.400
57287.0086458333           4.500
57287.0089930556          13.300
57287.0094907407          -7.000
57287.0097800926          -1.600
57287.0101388889           0.100
57287.0104629630          -2.800
57287.0108101852         -12.100
57287.0110879630          -9.800
57287.0113657407          -4.100
57287.0868634259           0.800
57287.0875694444          -1.500
57287.0880324074           6.100
57287.0881481481          -5.400
57287.0885300926          -0.600
57287.0887847222          -5.200
57287.0917824074          10.100
57287.0920370370          -2.000
57287.0923263889          -5.600
57287.0926967593          -0.100
57287.0930324074           6.500
57287.0934490741           4.800
57287.0937847222          11.400
57287.0941435185           6.500
57287.0944212963           7.500
57287.0948148148           7.400
57287.0951620370           4.300
57287.0955092593           5.500
57287.0958912037           4.900
57287.0963425926          11.900
57287.0963773148           9.000
57287.6170254630          22.700
57287.6174305556          19.200
57287.6177083333          22.300
57287.6180092593          17.200
57287.6185185185           7.300
57287.6188078704          10.300
57287.6191319444           7.400
57287.6194675926           9.200
57287.6197222222          10.200
57287.6202546296           6.600
57287.6204976852          -0.900
57287.6208680556          -8.700
57287.6212384259          -5.500
57287.6215162037          -6.400
57287.6217708333          -5.800
57287.6222222222         -10.100
57287.6230902778          -8.500
57287.6233101852         -14.700
57287.6236342593         -14.000
57287.6239236111         -14.200
57287.6243865741          -7.300
57287.6246412037          -3.500
57287.6250231481           6.900
57287.6253125000           6.300
57287.6257638889          19.100
57287.6260416667          14.900
57287.7034259259          -3.400
57287.7038657407           6.200
57287.7041666667           0.200
57287.7045254630           9.400
57287.7047569444          -1.800
57287.7052546296          -1.900
57287.7057407407          19.800
57287.7059490741           3.400
57287.7063078704          -0.800
57287.7066087963           0.000
57287.7072222222           6.800
57287.7077662037           2.900
57288.0424884259           4.200
57288.0428703704          24.100
57288.0431365741          12.000
57288.0437152778           2.100
57288.0444097222           9.600
57288.0448958333           9.100
57288.0451504630          -1.000
57288.0454629630          -8.000
57288.0459722222           3.500
57288.0461458333          -1.600
57288.0465972222          -0.000
57288.0468171296          -3.500
57288.0472453704           2.100
57288.0476504630           2.800
57288.0478009259           2.100
57288.0482986111           5.400
57288.0487152778          12.800
57288.0490740741          18.800
57288.0492939815          15.100
57288.0496412037          14.100
57288.0500578704          16.200
57288.0503703704          16.400
57288.0507060185          15.200
57288.0510879630          17.900
57288.0512500000          20.900
57288.5768634259          11.600
57288.5770717593           4.100
57288.5774652778          -5.000
57288.5777430556          -2.700
57288.5781250000          -8.000
57288.5784837963          -4.400
57288.5788425926          -9.700
57288.5791666667          -5.400
57288.5795717593         -15.100
57288.5798611111         -16.900
57288.5803587963         -19.600
57288.5806481481         -21.200
57288.5809259259         -20.600
57288.5812615741         -18.100
57288.5815046296         -17.300
57288.6556712963           8.300
57288.6559490741           6.800
57288.6562731481           2.300
57288.6565856481           5.700
57288.6569212963           0.400
57288.6572685185           3.700
57288.6576967593           4.200
57288.6580208333          -3.500
57288.6583680556          -4.000
57288.6587037037          -3.400
57288.6590509259          -5.700
57288.6593865741          -6.200
57288.6597453704          -2.900
57288.6600694444          -3.300
57288.6604629630          -6.700
57288.6607870370          -8.100
57288.6610648148          -4.600
57288.6614930556          -5.300
57288.6618402778          -5.000
57288.6621296296          -4.900
57288.6625231481         -10.700
57288.6628009259          -7.000
57288.6631018519           4.200
57288.6634490741          -3.100
57288.6640046296           8.100
57288.6642592593          -1.300
57288.6645254630           5.100
57288.9997106481           9.800
57289.0000462963          13.600
57289.0004282407          -4.200
